movieId,Year ,title,genres,imdb,Tmdb,Youtubelink,viewCount,likeCount,dislikeCount,commentCount
120853,2012,Fresh Guacamole (2012),Animation,2309977,142563,dNJdJIwCF_Y,125225541,939601,35855,37536
104076,2013,"Smurfs 2, The (2013)",Animation|Children|Comedy,2017020,77931,NVcSNnqRD0c,105979201,645559,48121,59489
87520,2011,Transformers: Dark of the Moon (2011),Action|Adventure|Sci-Fi|War|IMAX,1399103,38356,3H8bnKdf654,53008669,107931,6099,24335
130075,2015,Frozen Fever (2015),Adventure|Animation,4007502,326359,bQRLVxZHKPs,50298551,104324,13188,10000
114933,2013,Ilo Ilo (2013),Drama,2901736,188598,ISovsVvX8Bg,41700291,17850,11873,
103042,2013,Man of Steel (2013),Action|Adventure|Fantasy|Sci-Fi|IMAX,770828,49521,KVu3gS7iJu4,40795021,132394,6600,43344
103203,2012,Eden (2012),Crime|Drama,1734433,96599,pdbI0Fn4COQ,40419336,48964,6511,4346
111921,2014,The Fault in Our Stars (2014),Drama|Romance,2582846,222935,9ItBvH5J6ss,39311324,418664,5633,39235
107537,2011,Q (2011),Drama,1879030,86331,dUkCaPW8xCM,37220668,11554,5504,1912
106696,2013,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance,2294629,109445,TbQm5doF_Uc,34996413,56622,8928,7825
114762,2014,Two Night Stand (2014),Comedy|Romance,2140619,286554,VcSosCe0B-A,34001161,70937,5071,1434
106487,2013,The Hunger Games: Catching Fire (2013),Action|Adventure|Sci-Fi|IMAX,1951264,101299,jyPnQw_Lqds,32321452,188607,4460,45132
115877,2012,"Simpsons: The Longest Daycare, The (2012)",Animation|Comedy,2175842,116440,zoO0s1ukcqQ,31109528,124483,8939,6240
81591,2010,Black Swan (2010),Drama|Thriller,947798,44214,5jaI1XOB-bs,28021112,50854,2417,14457
118696,2014,The Hobbit: The Battle of the Five Armies (2014),Adventure|Fantasy,2310332,122917,ZSzeFFsKEt4,26838045,116619,3139,16471
96079,2012,Skyfall (2012),Action|Adventure|Thriller|IMAX,1074638,37724,6kw1UVovByw,26740537,58012,2454,
114713,2014,Annabelle (2014),Horror,3322940,250546,jdUysoK6tdQ,26333670,55977,7827,4637
